text,actual,predicted,probability_not_disaster,probability_disaster,clean_text,correct
"#USASupportsTerrorist 15 out of the 19 terrorist that ""attacked"" Americans on September 11, by flying planes into the World…",1,0,0.8818182615131955,0.11818173848680448,usasupportsterrorist terrorist attacked americans september flying planes world,False
"V commented on a post on WeVerse about the eruption of Taal Volcano here in the Philippines. 빵빵야 post trans: “Everyone, pl…",0,0,0.6514242556217351,0.3485757443782649,v commented post weverse eruption taal volcano philippines post trans everyone pl,True
Listen to Danrell x Småland - Hostage by HIGH ON MUSIC #SoundCloud https://t.co/eQQkeGeH3i,0,0,0.9452557288696682,0.05474427113033177,listen danrell x smland hostage high music soundcloud,True
Light Yagami Light Yagami at the start by the end of Death Note of Death Note https…,0,0,0.9007942179617917,0.09920578203820825,light yagami light yagami start end death note death note,True
"Safe to the evil tyranny, but torture to the citizens CCP is bringing Orwellian 1984 into reality, controlling not…",0,0,0.8557877380832644,0.14421226191673558,safe evil tyranny torture citizens ccp bringing orwellian reality controlling,True
Tbh I would have crushed it. Fuck those evil shits.,0,0,0.9544043112807542,0.04559568871924582,tbh would crushed fuck evil shits,True
[CLOCOLAN] – Two killed when bakkie and car collide. https://t.co/A3zZTtIu2Z …,1,1,0.3345904125827591,0.6654095874172409,clocolan two killed bakkie car collide,True
isnt it like past ur curfew alr? go to bed,0,0,0.963325483608916,0.03667451639108402,isnt like past ur curfew alr go bed,True
I have slept at 4am and for like 30min have been asking myself « why arent fishes drowning under the water »...,0,0,0.9420385746567289,0.05796142534327112,slept like min asking arent fishes drowning water,True
"Batangueños did the same. Agoncillo, Laurel, Talisay lakeshore communities. Many residents there are fishermen and vendors…",0,0,0.816970168578575,0.18302983142142504,batangueos agoncillo laurel talisay lakeshore communities many residents fishermen vendors,True
"We are open to any deal that saves bloodshed on a basis of the elimination of terrorism, the dissolution of militias, and the…",0,0,0.9204667636909224,0.07953323630907762,open deal saves bloodshed basis elimination terrorism dissolution militias,True
“One of the penalties of an ecological education is that one lives alone in a world of wounds.” How scientists are now…,0,0,0.9459629746130049,0.05403702538699504,one penalties ecological education one lives alone world wounds scientists,True
There’s a major upheaval coming in the Nigerian political system.,1,0,0.8613404942818563,0.13865950571814367,theres major upheaval coming nigerian political system,False
"NWSSevereTstorm Severe Thunderstorm Warning continues for Edenton NC, Windsor NC, Center Hill NC until 3:15 AM EST https://t.co/7m4Z7DQuny",1,1,0.19994833663780376,0.8000516633621962,nwsseveretstorm severe thunderstorm warning continues edenton nc windsor nc center hill nc est,True
"Our Services Forklift Operator Training: Forklift Operator Training, Reduces Accidents, Fatalities. Fatalities and… https://t.co/FiYLrzyvxq",0,0,0.8943535302209673,0.10564646977903269,services forklift operator training forklift operator training reduces accidents fatalities fatalities,True
Omg wait just scrolling through the dredges and didn’t actually realise there was a logo m… https://t.co/FkNr7ZJIOb,0,0,0.926438763274872,0.07356123672512804,omg wait scrolling dredges didnt actually realise logo,True
"Oh my God, my fucking eyes and ears are literally bleeding after watching this https://t.co/HoFAzD4OE8",0,0,0.9577487259752313,0.0422512740247687,oh god fucking eyes ears literally bleeding watching,True
